SUA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
2000,..,1169,160,1329,17,1349,..,80,5,88,0,88,..,322,17,341,0,342,..,600,81,684,10,685,..,155,10,162,7,172,..,105,21,126,0,131,..,220,15,235,3,239,..,1485,154,1630,19,1652,..,3817,426,4245,102,4348,..,317,40,361,5,360,..,119,50,168,3,169,..,226,39,268,5,270,..,490,21,506,14,516,..,81,11,92,0,92,..,350,34,385,9,391,..,207,33,242,3,240,..,62,5,67,0,67,..,230,31,262,4,271,..,697,31,726,10,734,..,226,12,241,6,243,..,678,28,712,12,719,..,204,19,227,0,230,..,1808,91,1897,29,1924,..,733,63,798,9,809,..,154,31,179,4,188,..,446,97,540,4,544,..,227,65,298,0,298,..,387,228,615,11,628,..,3872,832,4706,126,4835,..,22909,3594,26502,484,26986,..,1711,123,1833,54927,56755,605332,24617,3717,28335,55406,689078
2001,..,74,3,77,0,75,..,0,0,0,0,0,..,45,0,45,0,45,..,84,15,96,0,101,..,5,3,7,0,7,..,14,0,14,0,14,..,20,5,20,0,20,..,167,18,185,0,186,..,101,13,105,0,105,..,8,3,11,0,11,..,0,0,0,0,0,..,16,3,21,0,21,..,91,3,98,0,98,..,0,0,0,0,0,..,28,7,32,0,30,..,6,0,6,0,6,..,13,0,16,0,16,..,36,0,36,0,39,..,18,0,18,0,18,..,0,0,3,0,3,..,16,3,17,0,17,..,7,0,7,0,7,..,41,5,48,0,48,..,57,3,60,0,60,..,6,0,6,0,6,..,18,0,18,0,18,..,8,0,8,0,8,..,35,5,41,0,43,..,189,34,220,3,224,..,1167,118,1278,18,1299,..,32,0,35,1077,1113,17941,1198,116,1314,1093,20345
2002,..,8,0,8,3,7,..,0,0,0,0,0,..,26,0,24,0,25,..,10,0,10,0,10,..,8,0,8,0,8,..,3,0,3,0,3,..,10,0,10,0,10,..,55,0,59,0,61,..,82,6,92,3,94,..,5,0,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,15,3,20,0,20,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,33,0,38,0,38,..,0,0,0,0,0,..,31,0,31,0,31,..,5,0,5,0,5,..,77,0,81,0,81,..,11,0,8,0,9,..,15,0,14,0,14,..,12,0,12,0,12,..,0,0,0,0,0,..,26,27,53,0,53,..,61,13,78,4,77,..,514,85,606,15,619,..,46,0,52,1376,1421,12682,563,86,656,1393,14728
2003,..,111,24,137,5,139,..,69,10,75,0,75,..,208,17,222,0,222,..,216,24,239,3,246,..,78,9,86,3,86,..,79,17,96,0,96,..,103,6,114,0,114,..,749,82,831,3,835,..,195,14,214,4,212,..,125,22,144,0,144,..,38,3,40,0,40,..,17,0,19,0,19,..,51,4,51,0,53,..,59,11,65,0,65,..,44,3,48,0,48,..,59,5,65,0,65,..,5,0,5,0,5,..,33,0,33,7,40,..,132,7,137,0,137,..,36,0,41,0,41,..,161,6,167,0,167,..,34,3,39,0,40,..,363,16,377,0,384,..,100,5,101,0,101,..,72,7,77,0,77,..,67,18,87,0,86,..,21,3,26,0,26,..,79,22,103,0,107,..,911,168,1079,36,1112,..,4695,692,5379,73,5452,..,283,19,302,5783,6086,88346,4972,705,5681,5858,99885
2004,..,105,18,123,0,124,..,54,7,59,0,58,..,165,11,179,0,179,..,173,23,195,0,192,..,94,8,107,0,107,..,66,4,68,0,72,..,112,14,125,0,125,..,666,60,724,4,733,..,150,8,159,4,161,..,43,0,39,3,43,..,45,15,59,0,59,..,11,0,11,0,11,..,15,0,15,0,15,..,26,3,31,0,31,..,19,0,19,0,19,..,40,3,43,0,43,..,10,0,7,0,7,..,7,4,9,0,9,..,122,0,124,5,127,..,80,0,80,0,80,..,124,0,121,0,121,..,25,0,25,0,23,..,342,4,344,4,352,..,58,8,69,0,69,..,62,3,69,0,69,..,46,8,54,4,56,..,16,3,21,0,21,..,67,25,90,3,95,..,1082,650,1734,37,1772,..,3676,1005,4681,68,4749,..,245,17,259,6114,6374,83258,3922,1021,4944,6181,94378
2005,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,7,0,7,..,10,0,10,0,10,..,7,0,7,0,7,..,3,0,4,0,4,..,3,0,4,0,4,..,30,4,28,0,28,..,49,9,52,4,55,..,7,0,7,0,7,..,4,3,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,7,6,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,23,0,23,0,23,..,9,0,5,0,5,..,11,0,13,0,13,..,13,0,12,0,12,..,52,0,57,0,57,..,4,0,4,0,4,..,4,0,4,0,4,..,7,0,4,0,4,..,0,0,0,0,0,..,12,3,18,0,18,..,158,20,177,12,187,..,466,99,565,18,576,..,25,12,34,746,784,10892,492,102,595,763,12250
2006,..,13,0,19,0,16,..,0,0,0,0,0,..,11,0,11,0,11,..,12,0,11,0,11,..,20,0,23,0,23,..,3,0,3,0,3,..,14,3,18,0,18,..,59,5,70,0,70,..,45,11,52,0,52,..,7,6,8,0,8,..,4,3,8,0,8,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,26,0,24,0,24,..,3,0,3,0,3,..,37,0,38,0,38,..,0,0,0,0,0,..,66,0,73,0,73,..,17,0,19,0,19,..,0,0,0,0,0,..,5,0,6,0,6,..,0,0,3,0,3,..,13,0,13,0,13,..,102,25,125,9,131,..,494,60,551,10,561,..,72,3,71,1369,1443,18418,564,65,628,1378,20424
2007,..,749,108,856,13,874,..,115,10,124,0,124,..,539,16,559,3,566,..,704,68,772,6,783,..,237,17,258,0,256,..,219,21,241,0,241,..,337,19,359,7,368,..,2158,155,2312,18,2331,..,2065,316,2380,42,2422,..,271,18,292,0,293,..,121,35,156,0,156,..,847,203,1047,16,1060,..,163,14,170,3,171,..,353,75,427,3,430,..,413,68,484,4,492,..,222,51,268,0,271,..,37,0,39,0,39,..,621,152,776,16,789,..,418,13,431,0,431,..,243,4,254,0,250,..,506,14,521,3,522,..,148,3,158,3,159,..,1322,32,1353,11,1366,..,499,91,591,7,604,..,185,8,196,0,196,..,228,61,288,3,287,..,262,57,325,3,327,..,510,204,709,9,715,..,3846,1214,5056,114,5168,..,21041,3872,24906,344,25251,..,642,57,703,14293,14994,207214,21680,3925,25609,14634,247459
2008,..,59,0,57,0,59,..,0,0,0,0,0,..,8,0,8,0,8,..,10,3,11,0,11,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,26,4,31,0,31,..,149,11,156,3,165,..,17,4,21,0,21,..,5,0,5,0,5,..,15,3,20,0,20,..,64,0,66,0,65,..,3,0,3,0,3,..,22,9,28,0,28,..,3,0,3,0,3,..,0,0,0,0,3,..,5,0,5,0,5,..,3,3,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,7,0,7,..,16,3,15,0,15,..,40,10,42,0,42,..,3,0,3,0,3,..,6,0,8,0,8,..,19,0,19,0,19,..,19,0,15,0,15,..,91,21,108,6,118,..,803,93,897,16,915,..,46,0,51,1007,1055,18247,850,91,948,1021,20218
2009,..,17,0,15,0,15,..,12,0,12,0,12,..,19,3,23,0,23,..,11,0,11,0,11,..,13,0,13,0,11,..,7,0,7,0,9,..,27,3,26,0,26,..,89,7,96,3,98,..,75,4,78,0,83,..,7,0,7,0,7,..,8,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,13,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,27,3,32,0,32,..,0,0,0,0,0,..,31,0,35,0,35,..,10,0,13,0,13,..,81,3,86,0,86,..,16,0,19,0,19,..,10,0,10,0,10,..,3,3,5,0,5,..,19,4,27,0,27,..,9,0,9,0,9,..,135,39,181,3,186,..,605,75,682,13,695,..,37,4,39,847,887,14672,634,83,721,863,16250
2010,..,86885,18873,105760,954,106718,..,9552,680,10238,79,10314,..,46198,2306,48509,365,48872,..,46023,5311,51333,534,51870,..,33760,1966,35729,265,35991,..,20019,1957,21979,213,22190,..,28247,2442,30688,211,30892,..,183801,14658,198460,1663,200125,..,84810,14468,99274,1306,100584,..,8763,1492,10252,87,10339,..,10553,4102,14650,128,14773,..,22835,4515,27348,291,27638,..,13574,1132,14708,190,14895,..,12388,3037,15426,148,15572,..,11933,1673,13602,123,13733,..,13784,2967,16753,132,16884,..,9544,820,10363,185,10546,..,12544,2651,15195,151,15349,..,14819,415,15231,132,15364,..,14721,1065,15788,108,15896,..,19564,553,20120,194,20317,..,6293,376,6668,54,6726,..,55394,2415,57808,493,58303,..,28957,3603,32557,321,32879,..,22299,2260,24556,219,24772,..,8223,1919,10143,83,10226,..,24109,5614,29719,302,30025,..,68951,31225,100177,766,100940,..,165881,44037,209918,4043,213960,..,1172808,246780,1419596,14598,1434193,..,10411,2659,13073,229484,242551,2646330,1183222,249441,1432662,244081,4323072
2011,..,284,39,325,3,331,..,131,13,141,0,144,..,466,31,501,3,506,..,620,113,736,8,746,..,261,10,265,0,266,..,173,16,186,8,194,..,111,54,170,0,168,..,1767,236,1999,21,2026,..,391,33,422,7,433,..,21,4,28,0,28,..,44,15,59,0,59,..,192,31,227,4,228,..,740,59,801,13,812,..,20,13,37,0,37,..,155,23,179,0,183,..,56,13,67,0,71,..,563,41,604,12,623,..,295,53,350,3,354,..,327,8,328,6,339,..,75,11,85,4,82,..,437,10,444,3,447,..,78,0,84,0,84,..,913,27,940,14,951,..,503,58,563,3,566,..,57,3,65,0,65,..,79,17,102,3,99,..,206,32,234,0,238,..,240,119,360,12,364,..,2297,563,2859,67,2924,..,10087,1622,11704,185,11891,..,240,27,268,3778,4052,43949,10326,1647,11980,3959,59887
2012,..,253,52,302,3,305,..,30,0,30,0,30,..,45,5,50,0,50,..,151,25,178,3,178,..,44,0,45,0,45,..,9,0,11,0,11,..,56,0,59,0,59,..,336,38,374,3,377,..,833,130,962,15,984,..,29,14,44,0,44,..,21,32,52,0,52,..,9,0,6,0,6,..,4,0,4,0,4,..,11,13,26,0,30,..,18,0,13,0,19,..,9,0,9,0,9,..,50,8,54,0,54,..,14,0,14,0,13,..,61,0,65,0,65,..,7,0,8,0,8,..,78,5,75,0,75,..,64,39,102,0,100,..,204,43,251,0,248,..,20,3,28,0,28,..,36,11,55,0,51,..,38,13,46,3,45,..,276,123,398,3,407,..,84,91,174,3,173,..,853,310,1160,13,1172,..,3671,1067,4740,64,4800,..,143,9,155,4055,4209,41225,3819,1076,4893,4123,50239
2013,..,59,7,73,0,73,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,13,0,13,0,13,..,0,0,0,0,0,..,8,0,8,0,8,..,32,0,32,0,32,..,65,8,76,0,78,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,95,9,104,0,105,..,0,0,0,0,0,..,20,3,26,0,26,..,7,3,11,0,11,..,3,0,3,0,3,..,24,12,40,4,37,..,29,0,32,0,32,..,5,0,5,0,5,..,28,3,28,0,28,..,3,0,9,0,9,..,65,3,70,0,70,..,14,0,18,0,18,..,3,0,3,0,3,..,11,0,11,0,11,..,9,0,9,0,9,..,14,0,14,0,14,..,136,46,177,7,180,..,843,147,984,16,1003,..,48,4,48,1184,1233,14315,888,150,1037,1195,16551
2014,..,3,0,3,0,4,..,10,0,10,0,10,..,12,0,12,0,12,..,0,0,0,0,0,..,14,3,16,0,16,..,3,0,3,0,3,..,4,3,6,0,6,..,39,7,44,0,44,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,12,3,11,0,11,..,18,0,22,0,22,..,4,6,8,0,8,..,44,6,49,0,49,..,4,5,6,0,6,..,0,0,0,0,0,..,12,0,11,0,11,..,0,0,0,0,0,..,10,3,11,0,11,..,41,6,49,0,49,..,244,29,272,7,277,..,31,0,34,803,843,9680,280,32,310,813,10800
2015,..,11,0,7,0,11,..,7,0,7,0,7,..,32,3,34,0,38,..,49,3,53,0,53,..,25,3,26,0,26,..,22,0,28,0,28,..,15,0,22,0,22,..,154,13,171,0,167,..,43,5,55,0,55,..,9,0,7,0,7,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,24,0,23,0,22,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,10,0,10,..,26,0,29,0,29,..,3,0,3,0,3,..,41,4,43,0,43,..,18,0,16,0,16,..,87,8,97,0,97,..,4,3,10,0,10,..,20,14,31,0,31,..,14,3,13,0,15,..,0,0,0,0,0,..,33,18,51,0,47,..,104,16,121,3,119,..,718,131,846,12,862,..,33,0,35,1048,1085,12702,756,128,886,1057,14646
2016,..,154,27,182,4,185,..,36,3,41,0,44,..,104,6,115,0,118,..,679,135,810,15,828,..,109,10,118,0,115,..,114,9,120,0,121,..,139,18,156,0,159,..,1187,177,1366,23,1385,..,791,147,934,13,945,..,28,6,30,0,33,..,24,7,30,0,30,..,164,23,188,3,192,..,3,0,3,0,3,..,69,20,85,0,85,..,18,3,19,0,19,..,10,0,8,0,8,..,194,14,208,3,212,..,17,3,22,0,22,..,107,7,117,0,117,..,13,3,20,0,23,..,129,5,139,0,139,..,52,13,68,0,68,..,306,35,341,3,344,..,27,7,38,0,38,..,53,4,59,0,59,..,58,16,72,0,72,..,305,112,412,3,418,..,24,13,38,0,43,..,1606,727,2332,54,2390,..,6454,1894,8348,127,8480,..,154,39,197,3913,4104,37086,6603,1938,8545,4043,49672
2017,..,4,0,4,0,4,..,13,0,13,0,13,..,12,0,13,0,13,..,112,26,144,3,145,..,13,3,19,0,19,..,9,0,14,0,14,..,3,0,3,0,3,..,174,28,202,3,209,..,142,31,174,6,184,..,0,0,3,0,3,..,10,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,8,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,24,0,24,..,23,11,39,0,37,..,35,0,35,0,35,..,24,11,34,0,38,..,100,25,127,3,130,..,11,3,14,0,14,..,3,0,7,0,7,..,10,0,10,0,10,..,3,0,3,0,3,..,10,15,25,3,24,..,180,115,293,6,295,..,749,241,991,26,1022,..,32,11,40,1097,1134,8747,778,256,1037,1119,10905
2018,..,214,45,261,6,264,..,41,3,43,0,43,..,77,0,80,0,78,..,45,4,42,0,49,..,65,0,69,0,69,..,29,0,29,0,26,..,62,3,67,3,67,..,315,13,324,8,335,..,587,107,692,10,702,..,23,6,30,0,30,..,14,3,19,0,21,..,3,0,3,0,3,..,86,5,92,0,94,..,13,0,14,0,14,..,57,9,64,0,64,..,12,0,12,0,12,..,6,0,6,0,6,..,5,6,9,0,9,..,64,10,75,0,75,..,20,3,22,0,22,..,97,0,100,0,101,..,28,6,30,0,35,..,210,15,227,0,228,..,67,13,78,0,78,..,30,0,35,0,35,..,33,16,43,0,43,..,0,0,3,0,3,..,43,10,49,0,49,..,445,103,547,8,553,..,2750,462,3215,41,3258,..,123,10,130,3284,3418,33924,2879,473,3347,3324,40601
2019,..,21,6,24,0,24,..,4,0,3,0,3,..,8,0,11,0,11,..,31,0,37,0,37,..,18,0,21,0,21,..,16,0,16,0,16,..,30,0,32,0,32,..,109,10,120,0,120,..,311,74,381,6,389,..,14,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,12,0,12,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,8,0,8,..,7,3,11,0,11,..,24,0,24,0,24,..,4,0,9,0,6,..,29,3,36,0,36,..,7,0,7,0,7,..,65,3,73,0,70,..,13,5,14,0,14,..,12,0,15,0,15,..,4,3,3,3,10,..,7,4,15,0,15,..,8,0,8,0,8,..,72,13,93,6,92,..,822,150,964,15,984,..,51,3,58,1334,1389,16341,872,153,1027,1351,18710
2020,..,51,6,55,0,57,..,10,0,10,0,10,..,16,0,16,0,20,..,55,4,57,0,57,..,41,3,37,0,37,..,9,0,9,0,9,..,18,0,18,0,18,..,144,9,149,0,153,..,130,16,151,3,150,..,21,3,30,0,30,..,6,0,7,0,7,..,3,0,7,0,7,..,11,0,11,0,11,..,9,0,9,0,9,..,32,3,36,0,36,..,22,0,25,0,25,..,6,0,6,0,6,..,21,7,28,0,28,..,38,3,43,0,43,..,4,0,4,0,4,..,21,0,21,0,21,..,3,0,3,0,3,..,76,3,77,0,79,..,43,4,47,0,53,..,16,0,16,0,16,..,13,8,21,0,21,..,0,0,0,0,0,..,17,9,27,0,27,..,215,41,260,7,265,..,1273,192,1467,21,1484,..,81,7,92,2136,2231,31254,1361,199,1556,2159,34970
2021,..,27,0,32,0,32,..,4,0,4,0,4,..,37,4,35,0,37,..,13,3,12,0,14,..,58,10,67,0,67,..,0,0,0,0,0,..,18,0,18,0,21,..,127,8,143,3,146,..,32,3,34,0,34,..,46,3,52,0,52,..,28,56,79,0,79,..,0,0,0,0,0,..,5,0,5,0,7,..,0,0,4,0,4,..,7,0,7,0,4,..,8,4,17,0,17,..,6,0,6,0,6,..,0,0,0,0,0,..,37,0,36,0,36,..,32,0,34,0,34,..,33,0,35,0,35,..,11,0,11,0,11,..,107,9,119,0,119,..,23,3,24,0,24,..,28,0,28,0,28,..,34,10,43,0,44,..,9,3,12,0,12,..,12,3,16,0,16,..,188,38,222,11,236,..,1069,378,1443,27,1474,..,95,12,102,2309,2415,30135,1158,387,1547,2340,34021
3000,..,328,33,359,3,369,..,88,26,115,0,115,..,405,29,436,3,436,..,1032,179,1207,18,1230,..,160,13,170,0,174,..,104,3,109,0,109,..,353,40,395,4,394,..,2141,284,2427,29,2457,..,3466,548,4018,88,4102,..,630,218,846,7,854,..,399,454,859,4,865,..,20,0,18,0,18,..,261,12,269,7,277,..,88,4,89,0,89,..,232,21,256,3,263,..,253,34,292,3,293,..,140,5,153,0,155,..,104,14,121,3,122,..,1305,53,1360,20,1385,..,296,27,321,5,328,..,1683,66,1750,27,1771,..,289,21,310,10,321,..,3571,174,3746,57,3804,..,758,68,823,20,842,..,149,24,179,0,179,..,571,117,689,7,697,..,63,14,79,0,79,..,461,305,767,13,779,..,6240,1262,7498,230,7728,..,36513,6040,42556,1056,43605,..,2131,242,2370,69347,71716,642821,38646,6279,44928,70400,758150
3001,..,6715,758,7476,59,7531,..,2292,245,2534,13,2546,..,13767,641,14409,134,14541,..,11516,1305,12825,132,12955,..,4174,223,4395,27,4424,..,3440,387,3829,31,3862,..,9140,705,9842,56,9895,..,44329,3503,47829,389,48219,..,8844,937,9777,149,9930,..,5676,987,6663,49,6716,..,8846,4180,13023,78,13100,..,750,94,839,9,850,..,416,19,436,11,444,..,4347,844,5193,31,5222,..,3008,271,3277,40,3314,..,3184,416,3601,21,3626,..,12388,1137,13527,237,13768,..,2802,465,3263,18,3283,..,5565,166,5730,39,5769,..,3315,291,3607,32,3636,..,8744,254,8994,83,9074,..,2320,99,2424,25,2448,..,19939,814,20751,183,20931,..,12911,1717,14626,112,14736,..,3695,366,4060,31,4089,..,3349,728,4077,34,4113,..,1022,155,1183,5,1186,..,15474,6838,22310,131,22441,..,53632,12126,65757,1510,67264,..,302487,56738,359229,3807,363032,..,5176,751,5931,120933,126864,1702821,307667,57488,365154,124739,2192720
3002,..,24,0,24,0,28,..,30,0,30,0,30,..,74,0,76,0,76,..,51,8,65,0,65,..,39,0,37,0,37,..,31,0,31,0,31,..,85,11,93,0,93,..,306,29,332,0,332,..,240,34,273,7,275,..,61,37,93,0,91,..,76,59,136,5,138,..,3,0,3,0,3,..,14,4,20,3,26,..,9,0,11,0,11,..,17,0,21,0,21,..,31,3,34,0,34,..,11,0,9,0,9,..,7,0,7,0,7,..,107,3,112,3,112,..,21,4,20,0,20,..,141,7,149,0,153,..,40,4,37,0,37,..,308,21,322,5,326,..,42,3,47,3,54,..,19,3,25,0,25,..,61,16,77,0,77,..,95,14,114,0,114,..,75,49,125,3,127,..,506,85,592,15,610,..,2735,591,3328,49,3382,..,184,13,202,4111,4315,61372,2921,606,3527,4159,69061
3003,..,171,12,189,6,192,..,53,3,53,0,53,..,237,11,246,0,246,..,705,79,785,11,795,..,114,11,127,0,123,..,56,7,58,3,63,..,503,440,943,0,948,..,1671,546,2214,19,2235,..,877,79,957,7,967,..,1901,431,2335,9,2343,..,628,327,957,6,960,..,10,0,11,0,11,..,36,0,36,0,40,..,71,3,74,0,74,..,121,14,128,0,135,..,116,14,127,0,127,..,132,7,140,4,148,..,50,4,55,0,55,..,389,10,394,4,404,..,175,22,199,6,203,..,736,39,767,4,771,..,142,3,144,6,154,..,1441,68,1509,20,1527,..,313,38,350,7,359,..,72,3,74,0,74,..,356,70,420,4,428,..,32,3,36,0,36,..,225,63,291,0,292,..,4131,790,4924,131,5052,..,16861,3076,19933,319,20249,..,469,60,529,12710,13241,111298,17329,3137,20463,13024,144787
